Iteration,Total Reward,Actual MIS Size,Generated MIS Size,Line 1 Count,Line 2 Count,Line 3 Count,Line 4 Count,Line 5 Count,Line 6 Count,Line 7 Count,Line 8 Count,Line 9 Count,Line 10 Count,Adjacency Matrix
44,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,1,0,0,1,0,0,0,0,0;1,0,0,1,0,1,0,1,0,0;0,0,0,0,0,0,0,0,1,0;0,1,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,1,0;0,0,1,0,0,0,0,1,0,1;0,0,0,0,1,1,0,0,1,0"
45,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,0,0,0,0,1,0,0,0,0;0,0,1,1,0,1,0,0,1,1;0,1,0,0,1,1,0,1,0,0;0,1,0,0,0,0,1,0,1,0;0,0,1,0,0,0,0,1,0,0;1,1,1,0,0,0,0,0,1,1;0,0,0,1,0,0,0,1,0,0;0,0,1,0,1,0,1,0,1,1;0,1,0,1,0,1,0,1,0,0;0,1,0,0,0,1,0,1,0,0"
46,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,1,0,0,0,0,0,1,0,0;1,0,1,0,1,0,1,0,1,1;0,1,0,0,1,1,1,0,1,1;0,0,0,0,0,0,0,1,0,0;0,1,1,0,0,0,0,1,1,0;0,0,1,0,0,0,0,1,0,0;0,1,1,0,0,0,0,0,1,0;1,0,0,1,1,1,0,0,1,0;0,1,1,0,1,0,1,1,0,0;0,1,1,0,0,0,0,0,0,0"
47,1,10,3,7,3,4,2,2,1,1,1,1,1,"0,0,0,0,0,1,0,1,1,0;0,0,0,0,1,1,0,1,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;0,1,0,0,0,0,0,0,0,1;1,1,0,0,0,0,0,1,1,0;0,0,0,0,0,0,0,0,0,0;1,1,0,1,0,1,0,0,0,0;1,0,0,0,0,1,0,0,0,1;0,1,0,0,1,0,0,0,1,0"
48,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,1,0,1,0,1,0,0,0,0;1,0,0,0,0,0,1,1,1,1;0,0,0,0,0,0,0,0,1,0;1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,1,1,0;1,0,0,0,0,0,0,0,0,1;0,1,0,0,1,0,0,0,1,0;0,1,0,0,1,0,0,0,1,1;0,1,1,0,1,0,1,1,0,0;0,1,0,0,0,1,0,1,0,0"
49,4,10,4,8,3,5,3,2,0,0,2,2,2,"0,0,1,0,1,1,1,0,0,1;0,0,0,1,1,1,1,0,0,1;1,0,0,0,0,0,1,1,0,1;0,1,0,0,0,1,0,0,0,1;1,1,0,0,0,0,1,0,0,0;1,1,0,1,0,0,0,0,0,1;1,1,1,0,1,0,0,0,0,0;0,0,1,0,0,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;1,1,1,1,0,1,0,0,0,0"
50,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,0,0,0,0,1,0,1,1,1;0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,1,1,0;0,1,0,0,0,1,0,1,1,0;0,0,1,0,0,1,0,0,0,0;1,0,0,1,1,0,0,0,0,1;0,0,0,0,0,0,0,1,1,0;1,0,1,1,0,0,1,0,0,0;1,0,1,1,0,0,1,0,0,0;1,0,0,0,0,1,0,0,0,0"
51,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,1,0,0,0,1,1,0,0;0,0,0,1,1,1,0,1,0,0;1,0,0,1,1,0,1,0,0,0;0,1,1,0,1,1,0,1,0,1;0,1,1,1,0,0,1,0,1,0;0,1,0,1,0,0,1,0,1,0;1,0,1,0,1,1,0,0,1,0;1,1,0,1,0,0,0,0,1,0;0,0,0,0,1,1,1,1,0,0;0,0,0,1,0,0,0,0,0,0"
52,1,10,3,6,3,3,1,2,1,1,1,1,1,"0,1,0,0,0,0,0,0,1,1;1,0,0,1,0,0,0,1,1,0;0,0,0,0,0,0,0,0,0,0;0,1,0,0,1,0,0,1,1,1;0,0,0,1,0,0,0,1,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,1,0,1,1,0,0,0,0,0;1,1,0,1,1,0,0,0,0,0;1,0,0,1,0,0,0,0,0,0"
53,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,1,1,0,1,0,1,1,0;0,0,1,1,0,0,1,1,1,0;1,1,0,0,1,1,0,0,0,0;1,1,0,0,1,1,0,0,0,1;0,0,1,1,0,0,0,1,0,0;1,0,1,1,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,0,0,0;1,1,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0"
